initials,date,course_id,time (m),summary
RH,9/3/2023,MATH-403,120,HW1
RH,9/3/2023,THEO-334,45,prophetic imagination
RH,9/4/2023,THEO-334,60,prophetic imagination & RO2
RH,9/4/2023,DS-160,120,podcast. Summ. 1
RH,9/5/2023,DS-160,80,gro. Proj. 1
RH,9/5/2023,THEO-334,60,lecture&discussion
RH,9/5/2023,ECON-231,75,lecture&discussion
RH,9/6/2023,MATH-403,60,HW1
RH,9/6/2023,THEO-334,60,RO2
RH,9/6/2023,FINA-315,75,gru. quiz
RH,9/7/2023,DS-160,80,numpy rev.
RH,9/7/2023,THEO-334,60,lecture&discussion
RH,9/7/2023,ECON-231,75,lecture&discussion
RH,9/7/2023,MATH-403,75,lecture&discussion
RH,9/7/2023,FINA-315,90,gru. proj. 
RH,9/9/2023,THEO-334,120,ro3
RH,9/10/2023,MATH-403,120,HW2
RH,9/10/2023,HON-353H,120,Hashing out topic
RH,9/11/2023,FINA-315,75,gru. proj. 
RH,9/12/2023,DS-160,80,pandas
RH,9/12/2023,THEO-334,60,CH3 discussion & lecture
RH,9/12/2023,ECON-231,75,lecture&discussion
RH,9/12/2023,MATH-403,75,quiz + lecture
RH,9/13/2023,FINA-315,75,lecture&discussion
RH,9/14/2023,DS-160,80,lecture&discussion
RH,9/14/2023,THEO-334,60,CH3 discussion & lecture
RH,9/14/2023,ECON-231,75,lecture&discussion
RH,9/14/2023,MATH-403,75,quiz + lecture
RH,9/16/2023,FINA-315,75,HW2
RH,9/17/2023,FINA-315,75,HW2
RH,9/18/2023,FINA-315,75,CH.4 sheets mimicry
RH,9/19/2023,DS-160,80,lecture&discussion
RH,9/19/2023,THEO-334,60,CH3 discussion & lecture
RH,9/19/2023,ECON-231,75,lecture&discussion
RH,9/19/2023,MATH-403,75,quiz + lecture
RH,9/20/2023,DS-160,120,IP2 pandas
RH,9/20/2023,MATH-403,120,HW infinities
RH,9/20/2023,FINA-315,75,quiz review and proj. disc.
RH,9/21/2023,DS-160,80,gru. proj. rev.
RH,9/21/2023,THEO-334,60,discussion&lecture
RH,9/21/2023,ECON-231,75,finding MRS
RH,9/21/2023,MATH-403,75,convergence
RH,9/22/2023,FINA-315,75,HW4
RH,9/23/2023,FINA-315,75,HW4
RH,9/23/2023,FINA-315,120,gru. proj. pt. 2
RH,9/24/2023,THEO-334,120,RO5
RH,9/24/2023,DS-160,80,pod. sum. 2
RH,9/25/2023,HON-353H,120,mod 4
RH,9/25/2023,THEO-334,120,paper 1
RH,9/26/2023,THEO-334,240,paper 1
RH,9/27/2023,FINA-315,75,gru. quiz on Ch. 5
RH,9/28/2023,THEO-334,60,discussion&lecture
